Sujeto 18
1,[(19;1281;1)(36;3125;1)(32;4110;1)(13;4703;1)(50;5547;1)(50;6906;0)(90;8313;1)(82;8781;1)(63;9547;1)(65;10297;1)(115;11250;1)(96;11610;1)(118;12281;1)(89;12813;1)(58;13172;1)],51,14,1,0,19,19,48.872180,19,3
2,[(29;3469;1)(23;4406;1)(0;5125;1)(80;7235;1)(51;7922;-1)(52;8500;1)(64;9125;1)(57;9828;1)(69;10516;1)(96;11313;1)(84;11828;1)(117;12688;1)(113;13766;1)],53,12,0,1,15,17,52.380952,29,3
3,[(14;1781;1)(11;2391;1)(39;4062;1)(33;4969;1)(40;5547;1)(64;6125;1)(66;6625;1)(47;7172;1)(79;8016;1)(97;8703;1)(93;9281;1)(110;9797;1)(116;10844;1)],58,13,0,0,13,19,71.428571,14,5
4,[(6;1141;1)(39;2094;1)(119;2937;1)(113;3875;1)(62;4766;1)(50;5453;1)(2;6359;1)(27;7000;1)(35;7531;1)(55;8094;1)(67;8484;1)(96;9594;1)(90;10234;1)(23;12500;1)],71,14,0,0,13,19,76.923077,6,3
5,[(19;2015;1)(36;3312;1)(13;4640;1)(32;5703;1)(50;6375;1)(90;6922;1)(93;7281;-1)(82;8156;1)(63;8703;1)(65;9390;1)(58;9922;1)(96;10875;1)(115;11625;1)(118;12281;1)(89;14187;1)],49,14,0,1,16,18,58.035714,19,3
6,[(6;1562;1)(0;2328;1)(23;3250;1)(63;5312;-1)(52;5781;1)(64;6406;1)(84;7515;1)(80;8218;1)(92;8906;1)(113;9375;1)(96;10296;1)(107;10828;-1)(117;11203;1)(57;12765;1)],44,12,0,2,14,19,51.020408,6,3
7,[(39;2015;1)(79;2781;1)(97;3797;1)(116;4172;1)(110;5015;1)(71;6062;1)(64;6828;1)(66;7125;1)(47;7703;1)(33;8562;1)(11;9281;1)(14;9594;1)(93;11656;1)],52,13,0,0,13,18,71.428571,39,4
8,[(6;1500;1)(2;2125;1)(23;2578;1)(27;3078;1)(35;3500;1)(39;4078;1)(67;4609;1)(56;5047;0)(55;5531;1)(119;6406;1)(96;7437;1)(113;7937;1)(62;8640;1)(90;9109;1)(40;9500;-1)(50;9859;1)],61,14,1,1,11,19,77.922078,6,4
9,[(19;1422;1)(13;2391;1)(32;3016;1)(36;3641;1)(58;4422;1)(50;5672;1)(90;6328;1)(82;6734;1)(63;7719;1)(89;8641;1)(118;9312;1)(115;9797;1)(97;10281;-1)(96;10750;1)(65;11312;1)],57,14,0,1,14,19,66.326531,19,4
10,[(6;1469;1)(0;2062;1)(23;2906;1)(29;3812;1)(69;4625;1)(57;5094;1)(52;5797;1)(84;6344;1)(92;6828;1)(80;7344;1)(114;7953;-1)(113;8500;1)(96;9094;1)(117;9703;1)(74;10515;-1)(64;11172;1)],62,14,0,2,13,19,65.934066,6,3
